"SHCODE","YEAR","N0F15","PRIF15","PRICF15","SECF15","SECCF15","HIGHF15","HIGHCF15","TYRF15","PYRF15","SYRF15","HYRF15"
85,1990,68.5,16.3,5.6,13.2,2.9,2,1,2.75,2.09,0.6,0.06
86,1960,79.5,18.4,7.3,1.9,0.4,0,0,0.96,0.89,0.07,0
86,1965,75.4,21.9,8.6,2.5,0.6,0.1,0,1.18,1.07,0.1,0
86,1970,57.1,37.7,16.5,5.1,1.5,0.2,0,2.16,1.95,0.21,0
86,1975,53.5,39.9,14.6,6.3,1.8,0.4,0.1,2.31,2.04,0.27,0.01
86,1980,41.4,49.2,18.8,9.1,3.5,0.3,0,3.01,2.6,0.4,0.01
86,1985,37.2,50.1,22.3,11.9,3.5,0.9,0.1,3.47,2.94,0.52,0.02
86,1990,31.5,51.8,25.5,15.2,4.9,1.6,0.3,4.06,3.32,0.7,0.04
87,1960,94.2,3.4,2.1,2.2,0.7,0.1,0.1,0.41,0.31,0.1,0
87,1965,88.9,6.4,3.9,4.4,2,0.3,0.1,0.81,0.59,0.21,0.01
87,1970,85,8.2,3.7,6.3,1.7,0.4,0.1,1.04,0.76,0.27,0.01
87,1975,79.3,9.9,3.8,9.9,2.4,0.9,0.2,1.5,1.06,0.42,0.02
87,1980,72,14.3,5.2,12.6,4.1,1.1,0.4,2,1.41,0.57,0.03
87,1985,65,18.4,6.5,15.3,5.3,1.3,0.6,2.48,1.74,0.7,0.04
87,1990,56.7,22.9,7.9,18.2,6.1,2.2,0.7,3.07,2.15,0.86,0.06
88,1960,98.4,0.7,0.2,0.7,0.1,0.2,0,0.12,0.08,0.03,0
88,1965,93.3,4,1.5,2.2,0.1,0.5,0.1,0.43,0.33,0.09,0.01
88,1970,87.6,7.9,3,3.7,0.6,0.8,0.3,0.78,0.6,0.16,0.02
